公司名称,法定代表人,注册资本,注册时间,联系电话,邮箱,地址+
上海莱翌网络科技有限公司,陈章铭,4000万人民币,2014/6/6,1381710****,***@qq.com,上海市奉贤区新林路1111号1...+
上海盛大网络发展有限公司,陈天桥,2020万人民币,1999/12/29,021-6058****,,中国（上海）自由贸易试验区张江...+
上海巨人网络科技有限公司,刘伟,3680.8756万人民币,2004/11/18,021-3397****,***@ztgame.com,+
上海御馔网络科技有限公司,徐继,300万人民币,2010/7/28,021-6767****,,+
东方有线网络有限公司,毛辰,150000万人民币,1999/6/11,021-5119****,,中国（上海）自由贸易试验区金科...+
上海连尚网络科技有限公司,李政,2000万人民币,2013/10/28,68639700-85****,***@zenmen.com,浦东新区泥城镇云汉路979号2...+
上海益德网络有限公司,栾家霖,1000万人民币,2011/6/27,1336190****,,上海市宝山区长江南路668号A...+
牛住网络科技有限公司,范连溪,100001万人民币,2018/2/9,,,上海市浦东新区南汇新城镇海洋一...+
上海宏文网络科技有限公司,程武,1000万人民币,2008/10/22,021-6187****,***@yuewen.com,上海市浦东新区康沈路2868号...+
上海道振网络科技有限公司,杜俊杰,100000万人民币,2018/3/20,,,上海市崇明区长兴镇潘园公路18...+
上海依图网络科技有限公司,朱珑,3803.6674万人民币,2012/9/29,021-5255****,***@yitu-inc.com,上海市徐汇区宜州路180号1幢...+
上海豪门网络科技有限公司,陈佳菁,3万人民币,2009/8/17,0215875****,,上海市奉贤区海湾镇燎原农场三星...+
上海趣医网络科技有限公司,李志,9482.6452万人民币,2014/5/27,021-3477****,***@quyiyuan.com,上海市嘉定区嘉定镇清河路200...+
上海有孚网络股份有限公司,安柯,5892万人民币,2001/4/5,021-5126****,***@yovole.com,上海市杨浦区国定路323号12...+
蜘蛛行网络科技有限公司,陈福炜,5499.95万人民币,2016/1/28,1391849****,***@zhizhuchuxing.com,上海市闵行区申长路988弄1号...+
上海逗玩网络科技有限公司,眭锐,2000万人民币,2013/2/5,021-5299****,,上海市杨浦区国定路346号四楼...+
上海淘米网络科技有限公司,曾李青,1000万人民币,2007/10/8,021-6128****,***@taomee.com,上海市徐汇区古美路1528号2...+
上海纽空网络科技有限公司,李浩,6915.2542万人民币,2016/10/25,021-6306****,***@ctgtmo.com,上海市崇明区新河镇新开河路82...+
上海益玩网络科技有限公司,潘晓旭,1439.6万人民币,2013/6/25,020-8565****,,上海市嘉定区嘉美路1788号3...+
上海大承网络技术有限公司,杨明,1118.248万人民币,2008/9/16,021-6861****,,中国（上海）自由贸易试验区达尔...+
上海柘晋网络科技有限公司,陆仁军,52000万人民币,2018/6/21,,,上海市奉贤区庄行镇浦卫公路50...+
上海星艾网络科技有限公司,陶醉,1176.4706万人民币,2014/9/26,021-5470****,,上海市闵行区虹梅南路1755号...+
上海易娱网络科技有限公司,胡宏杰,1111.1111万人民币,2011/10/25,021-5912****,,上海市嘉定区南翔镇银翔路655...+
上海宏欣网络科技有限公司,金泓羽,539.9535万人民币,2012/4/24,021-6064****,***@abhwllm.com,中国（上海）自由贸易试验区郭守...+
上海双威通讯网络有限公司,王玮骊,400万人民币,2010/9/18,0215839****,,浦东新区上钢三村45号甲253...+
上海太屋网络科技有限公司,邹朝芹,300万人民币,2015/7/14,021-5169****,,上海市徐汇区零陵路585号1层...+
上海摩林网络科技有限公司,郑健灵,345.0651万人民币,2009/7/9,021-6208****,***@people-squared.com,上海市黄浦区思南路84号308...+
上海浅橙网络科技有限公司,朱永敏,779.631万人民币,2015/8/3,1881736****,***@xianjincard.com,上海市奉贤区奉金路469号4幢...+
上海芯霖网络科技有限公司,董均霖,760.8696万人民币,2015/5/27,021-5477****,,上海市宝山区园泰路918号1幢...+
上海悦玺网络科技有限公司,赵瑞俊,45560万人民币,2016/7/14,021-6886****,***@qq.com,中国（上海）自由贸易试验区陆家...+
信通网络运营通信有限公司,张德年,200000万人民币,2004/12/7,021-5175****,,上海市长宁区长宁路1618号1...+
上海猎鹰网络有限公司,熊贵成,3571.4299万人民币,2010/1/25,021-6215****,***@lieying.cn,上海市奉贤区正琅路19号1幢1...+
上海游创网络科技有限公司,游湘,300万人民币,2014/3/31,1860629****,,上海市嘉定区菊园新区环城路22...+
上海静嘉网络科技有限公司,孙海涛,40000万人民币,2010/12/17,1896812****,,中国（上海）自由贸易试验区杨高...+
上海燕致网络科技有限公司,辛鑫泓,5000万人民币,2016/6/2,021-5866****,***@cunpiao.com,中国（上海）自由贸易试验区马吉...+
上海叁陆伍网络科技有限公司,吉基强,398.96万人民币,2010/6/18,021-3652****,***@360fob.com,上海市虹口区物华路58号370...+
